Download Link,URL,Download Link Instances
http://download.jboss.org/wildfly/8.0.0.Final/wildfly-8.0.0.Final.zip,wildfly.org/downloads/,10
https://content-web.rhn.redhat.com/rhn/isos/rhel-6.8/md5sum/d93b6cdfaf6fee1ea419bdfe2a1d64e6/rhel-server-6.8-x86_64-boot.iso,https://rhn.redhat.com/rhn/software/channel/downloads/Download.do,9
http://www.jboss.org/download-manager/file/jboss-fuse-6.2.1.GA-full_zip.zip,www.jboss.org/products/fuse/get-started/,10
https://www.jboss.org/download-manager/file/jboss-eap-6.1.0.GA.zip,www.jboss.org/products/eap/download/,10
https://access.redhat.com/site/documentation/en-US/Red_Hat_Enterprise_Linux/7/pdf/DM_Multipath/Red_Hat_Enterprise_Linux-7-DM_Multipath-en-US.pdf,https://access.redhat.com/documentation/en/red-hat-enterprise-linux,5
http://sourceforge.net/projects/jboss/files/JBossTools/jbosstools4.2.x/jbosstools-4.2.3.Final_2015-03-26_23-05-30-B264-updatesite-hibernatetools.zip,tools.jboss.org/downloads/jbosstools/luna/4.2.3.final.html,10
https://developers.redhat.com/download-manager/file/jboss-devstudio-9.1.0.GA-installer-standalone.jar,developers.redhat.com/products/devstudio/download/,5
https://www.jboss.org/download-manager/file/jboss-eap-6.4.0.CVE-2015-7501.zip,www.jboss.org/products/eap/download/,10
https://www.redhat.com/cms/managed-files/cl-osp8-datasheet-inc0373342mm-201603-en-3.pdf,www.redhat.com/en/resources/red-hat-openstack-platform,10
http://download.jboss.org/wildfly/10.0.0.Final/wildfly-10.0.0.Final-src.zip,wildfly.org/downloads/,9
https://www.redhat.com/en/files/resources/en-rhel-for-sap-hana-ds-inc0262121_12220907_v3_0515.pdf,www.redhat.com/en/resources/red-hat-enterprise-linux-sap-hana,10
https://www.redhat.com/en/files/resources/en-rhjb-ventana-research-infographic.pdf,www.redhat.com/en/resources/rethinking-data-integration,8
https://access.redhat.com/site/documentation/en-US/Red_Hat_Enterprise_Linux/5/pdf/Deployment_Guide/Red_Hat_Enterprise_Linux-5-Deployment_Guide-en-US.pdf,https://access.redhat.com/documentation/en-US/Red_Hat_Enterprise_Linux/5/html/Deployment_Guide/index.html,2
https://access.redhat.com/site/documentation/en-US/Red_Hat_Enterprise_Linux/6/pdf/Resource_Management_Guide/Red_Hat_Enterprise_Linux-6-Resource_Management_Guide-en-US.pdf,https://access.redhat.com/documentation/en/red-hat-enterprise-linux,4
http://www.jp.redhat.com/licenses/Enterprise_Agr_Japan.pdf,www.redhat.com/ja/about/japan-buy,9
https://www.redhat.com/ja/files/resources/ja-rhel-7-server-datasheet-12182617.pdf,www.redhat.com/ja/resources/red-hat-enterprise-linux-server,9
http://www.redhat.com//files/resources/su-opst-taste-rh-training_v3-11821807-inc0304075mm-201509.pdf,engage.redhat.com/training-course-excerpt-s-201404241036,9
https://www.redhat.com/f/pdf/licenses/GLOBAL_EULA_RHEL_English_20101110.pdf,www.redhat.com/en/about/red-hat-end-user-license-agreements,7
