Date,Operating System Types,Visits
27-Apr-16,Blackberry,17
28-Apr-16,Microsoft Windows,12242
28-Apr-16,GNU/Linux,3616
28-Apr-16,Apple Macintosh,2822
28-Apr-16,Google Android,1944
28-Apr-16,Apple iOS,1305
28-Apr-16,Chrome OS,80
28-Apr-16,Microsoft Windows Phone/Mobile,41
28-Apr-16,Nokia,34
28-Apr-16,Other,30
28-Apr-16,Blackberry,27
29-Apr-16,Microsoft Windows,10392
29-Apr-16,GNU/Linux,3428
29-Apr-16,Apple Macintosh,2321
29-Apr-16,Google Android,1959
29-Apr-16,Apple iOS,1235
29-Apr-16,Chrome OS,65
29-Apr-16,Microsoft Windows Phone/Mobile,40
29-Apr-16,Other,39
29-Apr-16,Nokia,26
29-Apr-16,Blackberry,11
30-Apr-16,Microsoft Windows,6018
30-Apr-16,GNU/Linux,2649
30-Apr-16,Google Android,1778
30-Apr-16,Apple Macintosh,1570
30-Apr-16,Apple iOS,1250
30-Apr-16,Chrome OS,42
30-Apr-16,Other,39
30-Apr-16,Microsoft Windows Phone/Mobile,33
30-Apr-16,Nokia,29
30-Apr-16,Blackberry,14
1-May-16,Microsoft Windows,6435
1-May-16,GNU/Linux,2755
1-May-16,Google Android,1766
1-May-16,Apple Macintosh,1747
1-May-16,Apple iOS,1107
1-May-16,Other,144
1-May-16,Chrome OS,46
1-May-16,Nokia,35
1-May-16,Microsoft Windows Phone/Mobile,30
1-May-16,Blackberry,18
2-May-16,Microsoft Windows,11543
2-May-16,GNU/Linux,3425
2-May-16,Apple Macintosh,2865
2-May-16,Google Android,1975
2-May-16,Apple iOS,1342
2-May-16,Chrome OS,85
2-May-16,Microsoft Windows Phone/Mobile,45
2-May-16,Other,44
2-May-16,Nokia,35
2-May-16,Blackberry,23
3-May-16,Microsoft Windows,13733
3-May-16,GNU/Linux,4027
3-May-16,Apple Macintosh,3318
3-May-16,Google Android,2403
3-May-16,Apple iOS,1746
3-May-16,Chrome OS,77
3-May-16,Microsoft Windows Phone/Mobile,51
3-May-16,Other,45
3-May-16,Nokia,34
3-May-16,Blackberry,30
4-May-16,Microsoft Windows,12145
4-May-16,GNU/Linux,3781
4-May-16,Apple Macintosh,2967
4-May-16,Google Android,1984
4-May-16,Apple iOS,1308
4-May-16,Chrome OS,82
4-May-16,Microsoft Windows Phone/Mobile,47
4-May-16,Other,42
4-May-16,Nokia,41
4-May-16,Blackberry,21
5-May-16,Microsoft Windows,11572
5-May-16,GNU/Linux,3451
5-May-16,Apple Macintosh,2692
5-May-16,Google Android,1994
5-May-16,Apple iOS,1273
5-May-16,Chrome OS,77
5-May-16,Microsoft Windows Phone/Mobile,53
5-May-16,Nokia,46
5-May-16,Other,31
5-May-16,Blackberry,17
6-May-16,Microsoft Windows,10550
6-May-16,GNU/Linux,3440
6-May-16,Apple Macintosh,2613
